,Trimestre,Poblacion_ocupada_en_la_industria_manufacturera,Tasa_de_ocupaci n_en_la_industria_manufacturera
354,2,53705,7.2521599160000000000000
355,2,75797,15.56834940000000000000
356,2,92224,14.75954760000000000000
357,2,70156,19.075326820000000000000
358,2,359655,20.058582630000000000000
359,2,236572,21.52932740000000000000
360,2,691838,19.018994860000000000000
361,2,374941,18.198219010000000000000
362,2,137321,13.695300730000000000000
363,2,86981,13.019119830000000000000
364,2,50541,11.802357620000000000000
365,2,35037,12.96394280000000000000
366,2,22170,8.4132471640000000000000
367,2,16516,10.201484890000000000000
368,2,317582,25.813001190000000000000
369,2,122660,18.077687190000000000000
370,2,57207,6.528906850000000000000
371,2,114670,20.630074540000000000000
372,2,245594,18.161703750000000000000
373,2,178181,19.795821330000000000000
374,2,88298,22.164098370000000000000
375,2,60404,22.800070960000000000000
376,2,24410,7.2157664940000000000000
377,2,15322,7.5469281810000000000000
378,2,106465,17.874981740000000000000
379,2,58335,17.028934740000000000000
380,2,70350,9.5160670710000000000000
381,2,47490,11.08551180000000000000
382,2,118568,18.29340920000000000000
383,2,85213,22.45697720000000000000
384,2,33859,6.2693376640000000000000
385,2,17873,8.0452836980000000000000
386,2,164244,20.191336030000000000000
387,2,120600,25.097654010000000000000
388,2,61996,22.528353030000000000000
389,2,43812,27.512323780000000000000
390,2,175281,9.4660268890000000000000
391,2,107830,11.643715060000000000000
392,2,93896,18.46630690000000000000
393,2,81107,26.474495610000000000000
394,2,26185,7.6465503650000000000000
395,2,17626,9.6534273880000000000000
396,3,4457870,16.308666730000000000000
397,3,2974192,18.265060260000000000000
398,3,57875,22.323408820000000000000
399,3,31130,19.882480680000000000000
400,3,166716,21.249753040000000000000
401,3,117364,25.325786490000000000000
402,3,10722,6.6194174520000000000000
403,3,4292,5.3490198030000000000000
404,3,15658,7.3960709850000000000000
405,3,16472,14.369961960000000000000
406,3,187542,27.668080990000000000000
407,3,72903,19.94615580000000000000
408,3,14153,8.5256981760000000000000
409,3,8803,8.2840849210000000000000
410,3,71616,6.1266233850000000000000
411,3,66208,14.534629730000000000000
412,3,218396,24.87794320000000000000
413,3,130216,26.335311270000000000000
414,3,330900,14.133149730000000000000
415,3,216137,12.611793070000000000000
416,3,64554,16.993395230000000000000
417,3,25508,13.930576490000000000000
418,3,308013,24.710882840000000000000
