,Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
3315,2017,3,Chiapas,Mujeres,75463,526351,14.337010850000000000000
3317,2017,3,Chihuahua,Mujeres,215922,610445,35.371245570000000000000
3319,2017,3,Ciudad de M xico,Mujeres,195918,1873002,10.460106290000000000000
3321,2017,3,Durango,Mujeres,40550,282740,14.341798120000000000000
3323,2017,3,Guanajuato,Mujeres,199343,934632,21.328501490000000000000
3325,2017,3,Guerrero,Mujeres,66721,533506,12.506138640000000000000
3327,2017,3,Hidalgo,Mujeres,84382,447416,18.859853020000000000000
3329,2017,3,Jalisco,Mujeres,247671,1448952,17.093112820000000000000
3331,2017,3,M xico,Mujeres,428784,2807947,15.270373690000000000000
3333,2017,3,Michoac n,Mujeres,69073,699430,9.8756129990000000000000
3335,2017,3,Morelos,Mujeres,36660,305570,11.997251040000000000000
3337,2017,3,Nayarit,Mujeres,25220,228942,11.015890490000000000000
3339,2017,3,Nuevo Le n,Mujeres,165927,849627,19.529393490000000000000
3341,2017,3,Oaxaca,Mujeres,146482,666945,21.963130390000000000000
3343,2017,3,Puebla,Mujeres,190933,1020172,18.715765580000000000000
3345,2017,3,Quer taro,Mujeres,58537,291498,20.081441380000000000000
3347,2017,3,Quintana Roo,Mujeres,19811,302189,6.5558309530000000000000
3349,2017,3,San Luis Potos ,Mujeres,83142,430861,19.296710540000000000000
3351,2017,3,Sinaloa,Mujeres,66271,517209,12.813195440000000000000
3353,2017,3,Sonora,Mujeres,112233,523595,21.435078640000000000000
3355,2017,3,Tabasco,Mujeres,30878,321319,9.6097647510000000000000
3357,2017,3,Tamaulipas,Mujeres,121757,616724,19.742542860000000000000
3359,2017,3,Tlaxcala,Mujeres,62523,224249,27.881060790000000000000
3361,2017,3,Veracruz,Mujeres,62020,1026390,6.0425374370000000000000
3363,2017,3,Yucat n,Mujeres,91489,401438,22.79031880000000000000
3365,2017,3,Zacatecas,Mujeres,26734,216304,12.359457060000000000000
3367,2017,4,Nacional,Mujeres,3306497,20182970,16.38260870000000000000
3369,2017,4,Aguascalientes,Mujeres,44877,210959,21.272853970000000000000
3371,2017,4,Baja California,Mujeres,155548,640915,24.269676950000000000000
3373,2017,4,Baja California Sur,Mujeres,8839,148360,5.9578053380000000000000
3375,2017,4,Campeche,Mujeres,16445,152030,10.816944020000000000000
3377,2017,4,Coahuila,Mujeres,122259,468392,26.101854860000000000000
3379,2017,4,Colima,Mujeres,16022,154557,10.366402040000000000000
3381,2017,4,Chiapas,Mujeres,68187,505445,13.490488580000000000000
3383,2017,4,Chihuahua,Mujeres,210918,636823,33.120348980000000000000
3385,2017,4,Ciudad de M xico,Mujeres,160258,1885149,8.5010786950000000000000
3387,2017,4,Durango,Mujeres,44381,283267,15.66755040000000000000
3389,2017,4,Guanajuato,Mujeres,211645,956992,22.115649870000000000000
3391,2017,4,Guerrero,Mujeres,72482,564414,12.841991870000000000000
3393,2017,4,Hidalgo,Mujeres,72025,451488,15.952804950000000000000
3395,2017,4,Jalisco,Mujeres,244719,1451541,16.85925510000000000000
3397,2017,4,M xico,Mujeres,478086,2870963,16.652461210000000000000
3399,2017,4,Michoac n,Mujeres,92885,719936,12.901841270000000000000
3401,2017,4,Morelos,Mujeres,32514,320270,10.15205920000000000000
3403,2017,4,Nayarit,Mujeres,22591,237266,9.5213810660000000000000
3405,2017,4,Nuevo Le n,Mujeres,155562,887201,17.534019910000000000000
3407,2017,4,Oaxaca,Mujeres,125915,642047,19.611492620000000000000
3409,2017,4,Puebla,Mujeres,216432,1087312,19.905234190000000000000
3411,2017,4,Quer taro,Mujeres,54571,297620,18.335797330000000000000
3413,2017,4,Quintana Roo,Mujeres,19994,299356,6.6790042620000000000000
3415,2017,4,San Luis Potos ,Mujeres,84797,435486,19.471808510000000000000
3417,2017,4,Sinaloa,Mujeres,55172,524511,10.518749850000000000000
3419,2017,4,Sonora,Mujeres,115194,539849,21.338189010000000000000
3421,2017,4,Tabasco,Mujeres,36022,311411,11.56734990000000000000
3423,2017,4,Tamaulipas,Mujeres,116220,602729,19.282297680000000000000
3425,2017,4,Tlaxcala,Mujeres,62677,222540,28.164374940000000000000
3427,2017,4,Veracruz,Mujeres,70477,1036980,6.7963702290000000000000
3429,2017,4,Yucat n,Mujeres,90734,410888,22.082416620000000000000
3431,2017,4,Zacatecas,Mujeres,28049,226273,12.396087910000000000000
3433,2018,1,Nacional,Mujeres,3283975,20100506,16.337772790000000000000
3435,2018,1,Aguascalientes,Mujeres,44041,211011,20.871423760000000000000
3437,2018,1,Baja California,Mujeres,159725,630233,25.343801420000000000000
3439,2018,1,Baja California Sur,Mujeres,8311,155342,5.3501306790000000000000
3441,2018,1,Campeche,Mujeres,18871,150505,12.538453870000000000000
3443,2018,1,Coahuila,Mujeres,121991,486109,25.095400410000000000000
3445,2018,1,Colima,Mujeres,16933,153216,11.051717840000000000000
3447,2018,1,Chiapas,Mujeres,78328,557601,14.047320580000000000000
3449,2018,1,Chihuahua,Mujeres,202871,625114,32.453440490000000000000
3451,2018,1,Ciudad de M xico,Mujeres,173370,1910703,9.0736236870000000000000
3453,2018,1,Durango,Mujeres,45216,277834,16.274466050000000000000
3455,2018,1,Guanajuato,Mujeres,224555,937187,23.960532960000000000000
3457,2018,1,Guerrero,Mujeres,84703,541526,15.641538910000000000000
3459,2018,1,Hidalgo,Mujeres,70186,444311,15.796592930000000000000
3461,2018,1,Jalisco,Mujeres,233602,1410664,16.559719390000000000000
3463,2018,1,M xico,Mujeres,442784,2810078,15.757000340000000000000
3465,2018,1,Michoac n,Mujeres,90668,732763,12.373441340000000000000
3467,2018,1,Morelos,Mujeres,37905,324682,11.674499970000000000000
3469,2018,1,Nayarit,Mujeres,21359,237637,8.9880784560000000000000
3471,2018,1,Nuevo Le n,Mujeres,165772,871718,19.016700350000000000000
3473,2018,1,Oaxaca,Mujeres,122871,634524,19.364279370000000000000
3475,2018,1,Puebla,Mujeres,183086,1028359,17.803704740000000000000
3477,2018,1,Quer taro,Mujeres,63669,318694,19.978098110000000000000
3479,2018,1,Quintana Roo,Mujeres,15515,299885,5.1736498990000000000000
3481,2018,1,San Luis Potos ,Mujeres,82733,413515,20.007254880000000000000
3483,2018,1,Sinaloa,Mujeres,53412,555310,9.6184113380000000000000
3485,2018,1,Sonora,Mujeres,113142,550493,20.55284990000000000000
3487,2018,1,Tabasco,Mujeres,35991,311405,11.557617890000000000000
3489,2018,1,Tamaulipas,Mujeres,123930,601383,20.607499710000000000000
3491,2018,1,Tlaxcala,Mujeres,66231,222477,29.76981890000000000000
3493,2018,1,Veracruz,Mujeres,67744,1067770,6.3444374720000000000000
3495,2018,1,Yucat n,Mujeres,91091,417458,21.82039870000000000000
3497,2018,1,Zacatecas,Mujeres,23369,210999,11.075407940000000000000
3499,2018,2,Nacional,Mujeres,3365366,20666925,16.283825480000000000000
3501,2018,2,Aguascalientes,Mujeres,47069,219143,21.478669180000000000000
3503,2018,2,Baja California,Mujeres,161770,666342,24.277323060000000000000
3505,2018,2,Baja California Sur,Mujeres,8917,159655,5.5851680190000000000000
3507,2018,2,Campeche,Mujeres,20247,154746,13.084021560000000000000
3509,2018,2,Coahuila,Mujeres,125727,500243,25.133185270000000000000
3511,2018,2,Colima,Mujeres,15998,159475,10.031666410000000000000
3513,2018,2,Chiapas,Mujeres,56576,494211,11.447741960000000000000
3515,2018,2,Chihuahua,Mujeres,208712,667107,31.286135510000000000000
3517,2018,2,Ciudad de M xico,Mujeres,186469,1930679,9.658208330000000000000
3519,2018,2,Durango,Mujeres,46009,292440,15.732799890000000000000
3521,2018,2,Guanajuato,Mujeres,240820,1006811,23.91908710000000000000
3523,2018,2,Guerrero,Mujeres,82115,550506,14.916277030000000000000
3525,2018,2,Hidalgo,Mujeres,66270,473337,14.000595770000000000000
3527,2018,2,Jalisco,Mujeres,234121,1450251,16.143481370000000000000
3529,2018,2,M xico,Mujeres,439981,2954769,14.890537970000000000000
3531,2018,2,Michoac n,Mujeres,92793,737147,12.588126930000000000000
3533,2018,2,Morelos,Mujeres,32104,319607,10.044836310000000000000
3535,2018,2,Nayarit,Mujeres,22810,236292,9.6533103110000000000000
3537,2018,2,Nuevo Le n,Mujeres,178559,927834,19.244714030000000000000
3539,2018,2,Oaxaca,Mujeres,139292,661021,21.072250350000000000000
3541,2018,2,Puebla,Mujeres,189701,1049065,18.082864260000000000000
3543,2018,2,Quer taro,Mujeres,64398,313693,20.528988530000000000000
3545,2018,2,Quintana Roo,Mujeres,18101,311672,5.8077081030000000000000
3547,2018,2,San Luis Potos ,Mujeres,90002,438888,20.506826340000000000000
3549,2018,2,Sinaloa,Mujeres,62019,534734,11.598102980000000000000
3551,2018,2,Sonora,Mujeres,112079,553447,20.251080950000000000000
3553,2018,2,Tabasco,Mujeres,29897,332779,8.9840404590000000000000
3555,2018,2,Tamaulipas,Mujeres,132669,647323,20.495023350000000000000
3557,2018,2,Tlaxcala,Mujeres,63461,226942,27.963532530000000000000
3559,2018,2,Veracruz,Mujeres,77324,1046667,7.3876409590000000000000
3561,2018,2,Yucat n,Mujeres,92732,424436,21.848288080000000000000
3563,2018,2,Zacatecas,Mujeres,26624,225663,11.798123750000000000000
3565,2018,3,Nacional,Mujeres,3387451,20599736,16.444147630000000000000
3567,2018,3,Aguascalientes,Mujeres,46620,218545,21.331991120000000000000
3569,2018,3,Baja California,Mujeres,168731,674094,25.030782060000000000000
3571,2018,3,Baja California Sur,Mujeres,8225,161651,5.0881219420000000000000
3573,2018,3,Campeche,Mujeres,17980,154202,11.660030350000000000000
3575,2018,3,Coahuila,Mujeres,120078,480541,24.988086340000000000000
3577,2018,3,Colima,Mujeres,15303,154340,9.9151224570000000000000
3579,2018,3,Chiapas,Mujeres,52772,526744,10.018528920000000000000
3581,2018,3,Chihuahua,Mujeres,209815,677979,30.947123730000000000000
3583,2018,3,Ciudad de M xico,Mujeres,170122,1871356,9.090841080000000000000
3585,2018,3,Durango,Mujeres,45752,279427,16.373507210000000000000
3587,2018,3,Guanajuato,Mujeres,238098,950617,25.046680210000000000000
3589,2018,3,Guerrero,Mujeres,76113,549791,13.843987990000000000000
3591,2018,3,Hidalgo,Mujeres,79056,504937,15.656606670000000000000
3593,2018,3,Jalisco,Mujeres,247584,1456940,16.993424570000000000000
3595,2018,3,M xico,Mujeres,471494,2937957,16.048362860000000000000
3597,2018,3,Michoac n,Mujeres,81613,715181,11.41151680000000000000
3599,2018,3,Morelos,Mujeres,33712,316437,10.653621420000000000000
3601,2018,3,Nayarit,Mujeres,27476,243398,11.288506890000000000000
3603,2018,3,Nuevo Le n,Mujeres,161662,894666,18.069536560000000000000
3605,2018,3,Oaxaca,Mujeres,146441,696255,21.032667630000000000000
3607,2018,3,Puebla,Mujeres,188751,1083019,17.42822610000000000000
3609,2018,3,Quer taro,Mujeres,68343,323322,21.137751220000000000000
3611,2018,3,Quintana Roo,Mujeres,17452,318337,5.4822405190000000000000
3613,2018,3,San Luis Potos ,Mujeres,91670,439818,20.842712210000000000000
3615,2018,3,Sinaloa,Mujeres,66295,513552,12.909111440000000000000
3617,2018,3,Sonora,Mujeres,110698,540815,20.4687370000000000000
3619,2018,3,Tabasco,Mujeres,32924,329700,9.9860479220000000000000
3621,2018,3,Tamaulipas,Mujeres,127445,623320,20.446159280000000000000
3623,2018,3,Tlaxcala,Mujeres,67541,229979,29.368333630000000000000
3625,2018,3,Veracruz,Mujeres,87033,1108795,7.8493319320000000000000
3627,2018,3,Yucat n,Mujeres,81142,407422,19.915959370000000000000
