Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Hidalgo,2010,1,Mujeres,56862,355541,15.993092220000000000000
Jalisco,2010,1,Mujeres,208049,1224705,16.987682750000000000000
M xico,2010,1,Mujeres,341799,2234433,15.296900820000000000000
Michoac n,2010,1,Mujeres,68674,624339,10.999473040000000000000
Morelos,2010,1,Mujeres,35717,303017,11.787127450000000000000
Nayarit,2010,1,Mujeres,16607,183794,9.0356594880000000000000
Nuevo Le n,2010,1,Mujeres,112769,750788,15.020085560000000000000
Oaxaca,2010,1,Mujeres,134597,605544,22.227451680000000000000
Puebla,2010,1,Mujeres,157526,879210,17.916766190000000000000
Quer taro,2010,1,Mujeres,47225,247468,19.083275410000000000000
Quintana Roo,2010,1,Mujeres,15021,243099,6.1789641260000000000000
San Luis Potos ,2010,1,Mujeres,50548,344673,14.665494540000000000000
Sinaloa,2010,1,Mujeres,49907,467365,10.678377710000000000000
Sonora,2010,1,Mujeres,83489,399898,20.877573780000000000000
Tabasco,2010,1,Mujeres,16737,291138,5.7488201470000000000000
Tamaulipas,2010,1,Mujeres,85776,507688,16.895416080000000000000
Tlaxcala,2010,1,Mujeres,44440,174421,25.478583430000000000000
Veracruz,2010,1,Mujeres,97795,1054811,9.2713291770000000000000
Yucat n,2010,1,Mujeres,75110,361178,20.795840280000000000000
Zacatecas,2010,1,Mujeres,19062,187332,10.175517260000000000000
Nacional,2010,2,Mujeres,2572927,17540414,14.668564840000000000000
Aguascalientes,2010,2,Mujeres,30430,183436,16.588892040000000000000
Baja California,2010,2,Mujeres,106419,511204,20.817325370000000000000
Baja California Sur,2010,2,Mujeres,7434,106093,7.0070598440000000000000
Campeche,2010,2,Mujeres,16090,122996,13.081726230000000000000
Coahuila,2010,2,Mujeres,65599,396152,16.559048040000000000000
Colima,2010,2,Mujeres,9194,124315,7.3957285930000000000000
Chiapas,2010,2,Mujeres,60501,557636,10.84955060000000000000
Chihuahua,2010,2,Mujeres,109903,478804,22.953651180000000000000
Ciudad de M xico,2010,2,Mujeres,184051,1720326,10.698611770000000000000
Durango,2010,2,Mujeres,25298,202654,12.4833460000000000000
Guanajuato,2010,2,Mujeres,176101,842632,20.898921470000000000000
Guerrero,2010,2,Mujeres,94482,570901,16.549629450000000000000
Hidalgo,2010,2,Mujeres,60627,392735,15.437126820000000000000
Jalisco,2010,2,Mujeres,176805,1215018,14.551636270000000000000
M xico,2010,2,Mujeres,338159,2309915,14.639456430000000000000
Michoac n,2010,2,Mujeres,78690,638862,12.317214050000000000000
Morelos,2010,2,Mujeres,30581,303045,10.091240570000000000000
Nayarit,2010,2,Mujeres,19997,190705,10.48582890000000000000
Nuevo Le n,2010,2,Mujeres,118537,766169,15.471390780000000000000
Oaxaca,2010,2,Mujeres,120330,624852,19.257360140000000000000
Puebla,2010,2,Mujeres,147593,921779,16.011755530000000000000
Quer taro,2010,2,Mujeres,49454,268696,18.405186530000000000000
Quintana Roo,2010,2,Mujeres,18041,249613,7.2275883070000000000000
San Luis Potos ,2010,2,Mujeres,61691,363692,16.962429750000000000000
Sinaloa,2010,2,Mujeres,46439,461682,10.058655090000000000000
Sonora,2010,2,Mujeres,85947,419221,20.501597010000000000000
Tabasco,2010,2,Mujeres,17943,291244,6.1608136130000000000000
Tamaulipas,2010,2,Mujeres,78941,478412,16.500631260000000000000
Tlaxcala,2010,2,Mujeres,44238,180513,24.506822220000000000000
Veracruz,2010,2,Mujeres,96761,1101109,8.7875950520000000000000
Yucat n,2010,2,Mujeres,75460,353989,21.317046570000000000000
Zacatecas,2010,2,Mujeres,21191,192014,11.036174450000000000000
Nacional,2010,3,Mujeres,2684960,17469831,15.369124060000000000000
Aguascalientes,2010,3,Mujeres,30880,183712,16.808918310000000000000
Baja California,2010,3,Mujeres,101079,489946,20.630640930000000000000
Baja California Sur,2010,3,Mujeres,7292,108457,6.7234019010000000000000
Campeche,2010,3,Mujeres,16148,124887,12.93008880000000000000
Coahuila,2010,3,Mujeres,61589,393639,15.646061490000000000000
Colima,2010,3,Mujeres,10067,125351,8.0310488150000000000000
Chiapas,2010,3,Mujeres,76124,541251,14.064454380000000000000
Chihuahua,2010,3,Mujeres,101788,455028,22.369612420000000000000
Ciudad de M xico,2010,3,Mujeres,191541,1723404,11.114109050000000000000
Durango,2010,3,Mujeres,23303,205398,11.345290610000000000000
Guanajuato,2010,3,Mujeres,185620,868929,21.361929460000000000000
Guerrero,2010,3,Mujeres,96140,563537,17.060104310000000000000
Hidalgo,2010,3,Mujeres,68028,365897,18.592117450000000000000
Jalisco,2010,3,Mujeres,192895,1258004,15.333417060000000000000
M xico,2010,3,Mujeres,354812,2330107,15.227283550000000000000
Michoac n,2010,3,Mujeres,73778,641859,11.494424790000000000000
Morelos,2010,3,Mujeres,30775,296336,10.385170890000000000000
Nayarit,2010,3,Mujeres,17889,184918,9.6740176730000000000000
Nuevo Le n,2010,3,Mujeres,118652,756434,15.685704240000000000000
Oaxaca,2010,3,Mujeres,117878,624116,18.887194050000000000000
Puebla,2010,3,Mujeres,188734,945313,19.965239030000000000000
Quer taro,2010,3,Mujeres,55911,270750,20.650415510000000000000
Quintana Roo,2010,3,Mujeres,13866,245302,5.6526241120000000000000
San Luis Potos ,2010,3,Mujeres,60279,362337,16.63617020000000000000
Sinaloa,2010,3,Mujeres,43581,437298,9.9659728610000000000000
Sonora,2010,3,Mujeres,82409,397408,20.736623320000000000000
Tabasco,2010,3,Mujeres,22477,273065,8.2313734830000000000000
Tamaulipas,2010,3,Mujeres,89233,495643,18.003482350000000000000
Tlaxcala,2010,3,Mujeres,47304,181894,26.006355350000000000000
Veracruz,2010,3,Mujeres,103279,1058447,9.7575976880000000000000
Yucat n,2010,3,Mujeres,79474,358858,22.14636430000000000000
Zacatecas,2010,3,Mujeres,22135,202306,10.941346280000000000000
Nacional,2010,4,Mujeres,2604038,17143259,15.189865590000000000000
Aguascalientes,2010,4,Mujeres,31813,175816,18.094485140000000000000
Baja California,2010,4,Mujeres,99277,512743,19.361941560000000000000
Baja California Sur,2010,4,Mujeres,8355,110071,7.5905551870000000000000
Campeche,2010,4,Mujeres,16809,128589,13.071880180000000000000
Coahuila,2010,4,Mujeres,64629,392848,16.451401050000000000000
Colima,2010,4,Mujeres,9499,125432,7.5730276170000000000000
Chiapas,2010,4,Mujeres,57661,516258,11.169027890000000000000
Chihuahua,2010,4,Mujeres,109288,450660,24.25065460000000000000
Ciudad de M xico,2010,4,Mujeres,172639,1740268,9.9202536620000000000000
Durango,2010,4,Mujeres,27511,209530,13.129862070000000000000
Guanajuato,2010,4,Mujeres,177571,865300,20.521322080000000000000
Guerrero,2010,4,Mujeres,68710,568951,12.076611170000000000000
Hidalgo,2010,4,Mujeres,78949,388114,20.341703730000000000000
Jalisco,2010,4,Mujeres,206478,1244391,16.592694740000000000000
M xico,2010,4,Mujeres,350520,2174023,16.123104490000000000000
Michoac n,2010,4,Mujeres,65141,576503,11.299334090000000000000
Morelos,2010,4,Mujeres,31242,293541,10.643146950000000000000
Nayarit,2010,4,Mujeres,19623,188234,10.424790420000000000000
Nuevo Le n,2010,4,Mujeres,126904,770708,16.465898890000000000000
Oaxaca,2010,4,Mujeres,112345,599414,18.742471810000000000000
Puebla,2010,4,Mujeres,171044,926467,18.461963570000000000000
Quer taro,2010,4,Mujeres,54061,261580,20.667099930000000000000
Quintana Roo,2010,4,Mujeres,16140,254172,6.3500306880000000000000
San Luis Potos ,2010,4,Mujeres,60210,356457,16.891237930000000000000
Sinaloa,2010,4,Mujeres,48783,445723,10.944689860000000000000
Sonora,2010,4,Mujeres,83712,411806,20.328018530000000000000
Tabasco,2010,4,Mujeres,17524,274019,6.3951769770000000000000
Tamaulipas,2010,4,Mujeres,84126,488569,17.218857520000000000000
Tlaxcala,2010,4,Mujeres,48147,179316,26.850364720000000000000
Veracruz,2010,4,Mujeres,88852,974342,9.1191799180000000000000
Yucat n,2010,4,Mujeres,74782,337949,22.128190940000000000000
Zacatecas,2010,4,Mujeres,21693,201465,10.767627130000000000000
Nacional,2011,1,Mujeres,2560236,17071318,14.997295460000000000000
Aguascalientes,2011,1,Mujeres,29135,176387,16.51765720000000000000
Baja California,2011,1,Mujeres,96595,486274,19.864315180000000000000
Baja California Sur,2011,1,Mujeres,7999,112043,7.1392233340000000000000
Campeche,2011,1,Mujeres,16148,131969,12.236206990000000000000
Coahuila,2011,1,Mujeres,70640,387448,18.232124050000000000000
Colima,2011,1,Mujeres,8887,124937,7.1131850450000000000000
Chiapas,2011,1,Mujeres,65721,539231,12.187912050000000000000
Chihuahua,2011,1,Mujeres,92900,422838,21.970589210000000000000
Ciudad de M xico,2011,1,Mujeres,174506,1677371,10.403542210000000000000
Durango,2011,1,Mujeres,27351,198158,13.802622150000000000000
Guanajuato,2011,1,Mujeres,177097,862977,20.521636150000000000000
Guerrero,2011,1,Mujeres,85732,537545,15.948804290000000000000
Hidalgo,2011,1,Mujeres,65023,388889,16.720195220000000000000
Jalisco,2011,1,Mujeres,198154,1255928,15.77749680000000000000
M xico,2011,1,Mujeres,345475,2221454,15.551751240000000000000
Michoac n,2011,1,Mujeres,58997,598679,9.8545297230000000000000
Morelos,2011,1,Mujeres,33208,296293,11.207824690000000000000
Nayarit,2011,1,Mujeres,18255,186302,9.7986065640000000000000
Nuevo Le n,2011,1,Mujeres,129867,753680,17.231052970000000000000
Oaxaca,2011,1,Mujeres,109264,585567,18.659521460000000000000
Puebla,2011,1,Mujeres,146574,897098,16.338683180000000000000
Quer taro,2011,1,Mujeres,57050,283854,20.098360420000000000000
Quintana Roo,2011,1,Mujeres,13044,248786,5.2430603010000000000000
San Luis Potos ,2011,1,Mujeres,63364,368526,17.193902190000000000000
Sinaloa,2011,1,Mujeres,44549,436577,10.204156430000000000000
Sonora,2011,1,Mujeres,86909,419940,20.695575560000000000000
Tabasco,2011,1,Mujeres,20193,290805,6.9438283390000000000000
Tamaulipas,2011,1,Mujeres,92093,488310,18.859535950000000000000
Tlaxcala,2011,1,Mujeres,42551,175312,24.271584380000000000000
Veracruz,2011,1,Mujeres,80052,981094,8.1594628040000000000000
Yucat n,2011,1,Mujeres,77199,348407,22.157706360000000000000
Zacatecas,2011,1,Mujeres,25704,188639,13.626026430000000000000
Nacional,2011,2,Mujeres,2656299,17575169,15.113931480000000000000
Aguascalientes,2011,2,Mujeres,30143,177052,17.024941830000000000000
Baja California,2011,2,Mujeres,113954,502497,22.677548320000000000000
Baja California Sur,2011,2,Mujeres,7353,114845,6.4025425570000000000000
Campeche,2011,2,Mujeres,14289,129273,11.053352210000000000000
Coahuila,2011,2,Mujeres,74561,418524,17.815226840000000000000
Colima,2011,2,Mujeres,9239,129698,7.1234714490000000000000
Chiapas,2011,2,Mujeres,66835,570514,11.714874660000000000000
Chihuahua,2011,2,Mujeres,107997,420755,25.667431170000000000000
Ciudad de M xico,2011,2,Mujeres,157162,1729107,9.0892003790000000000000
Durango,2011,2,Mujeres,29739,222814,13.347006920000000000000
Guanajuato,2011,2,Mujeres,170272,853265,19.955347990000000000000
Guerrero,2011,2,Mujeres,92774,565338,16.410359820000000000000
Hidalgo,2011,2,Mujeres,64498,388766,16.590442580000000000000
Jalisco,2011,2,Mujeres,206843,1255099,16.480213910000000000000
M xico,2011,2,Mujeres,335969,2268492,14.810235170000000000000
Michoac n,2011,2,Mujeres,82054,652186,12.581380160000000000000
Morelos,2011,2,Mujeres,32297,300108,10.761792420000000000000
Nayarit,2011,2,Mujeres,17888,183677,9.738835020000000000000
Nuevo Le n,2011,2,Mujeres,130477,769753,16.95050230000000000000
Oaxaca,2011,2,Mujeres,115237,621645,18.537428920000000000000
Puebla,2011,2,Mujeres,169732,949780,17.870664790000000000000
Quer taro,2011,2,Mujeres,55191,285849,19.30774640000000000000
Quintana Roo,2011,2,Mujeres,16560,256080,6.4667291470000000000000
San Luis Potos ,2011,2,Mujeres,55969,378698,14.779322840000000000000
Sinaloa,2011,2,Mujeres,49544,440628,11.243951810000000000000
Sonora,2011,2,Mujeres,99998,427890,23.370025010000000000000
Tabasco,2011,2,Mujeres,20011,289435,6.9138148460000000000000
Tamaulipas,2011,2,Mujeres,86935,540277,16.090820080000000000000
Tlaxcala,2011,2,Mujeres,40366,173087,23.321219960000000000000
Veracruz,2011,2,Mujeres,98991,997627,9.922646440000000000000
Yucat n,2011,2,Mujeres,80196,362962,22.094874950000000000000
Zacatecas,2011,2,Mujeres,23225,199448,11.64463920000000000000
Nacional,2011,3,Mujeres,2652957,17742234,14.952778780000000000000
Aguascalientes,2011,3,Mujeres,29258,177468,16.486352470000000000000
Baja California,2011,3,Mujeres,103638,515583,20.101128240000000000000
Baja California Sur,2011,3,Mujeres,8425,117177,7.1899775550000000000000
Campeche,2011,3,Mujeres,16800,130202,12.90302760000000000000
Coahuila,2011,3,Mujeres,81941,432368,18.951680050000000000000
Colima,2011,3,Mujeres,9978,130700,7.634276970000000000000
Chiapas,2011,3,Mujeres,59752,540712,11.050614750000000000000
Chihuahua,2011,3,Mujeres,111105,421243,26.375512470000000000000
Ciudad de M xico,2011,3,Mujeres,164451,1741370,9.4437712840000000000000
Durango,2011,3,Mujeres,30202,216016,13.981371750000000000000
Guanajuato,2011,3,Mujeres,185058,857017,21.593270610000000000000
Guerrero,2011,3,Mujeres,74283,556729,13.342757430000000000000
Hidalgo,2011,3,Mujeres,61775,410010,15.066705690000000000000
Jalisco,2011,3,Mujeres,210487,1301332,16.174734810000000000000
M xico,2011,3,Mujeres,354175,2351817,15.059632620000000000000
Michoac n,2011,3,Mujeres,87305,647623,13.480836840000000000000
Morelos,2011,3,Mujeres,33012,306961,10.754460660000000000000
Nayarit,2011,3,Mujeres,15126,175891,8.5996440980000000000000
Nuevo Le n,2011,3,Mujeres,124917,761896,16.39554480000000000000
Oaxaca,2011,3,Mujeres,123629,649350,19.038885040000000000000
Puebla,2011,3,Mujeres,157540,914328,17.230140610000000000000
Quer taro,2011,3,Mujeres,51516,282384,18.243243240000000000000
Quintana Roo,2011,3,Mujeres,13563,251937,5.3834887290000000000000
San Luis Potos ,2011,3,Mujeres,52059,368957,14.109774310000000000000
Sinaloa,2011,3,Mujeres,45678,427526,10.684262480000000000000
Sonora,2011,3,Mujeres,91173,440719,20.687331380000000000000
Tabasco,2011,3,Mujeres,19808,297963,6.6478052640000000000000
Tamaulipas,2011,3,Mujeres,87035,540818,16.093214350000000000000
Tlaxcala,2011,3,Mujeres,45689,188172,24.280445550000000000000
Veracruz,2011,3,Mujeres,106455,1029073,10.344747170000000000000
Yucat n,2011,3,Mujeres,74857,357159,20.959012650000000000000
Zacatecas,2011,3,Mujeres,22267,201733,11.037856970000000000000
Nacional,2011,4,Mujeres,2688624,18624082,14.436276640000000000000
Aguascalientes,2011,4,Mujeres,30613,190561,16.06467220000000000000
Baja California,2011,4,Mujeres,99851,544389,18.341847470000000000000
Baja California Sur,2011,4,Mujeres,7170,127974,5.6027005490000000000000
Campeche,2011,4,Mujeres,18074,136518,13.23927980000000000000
Coahuila,2011,4,Mujeres,86119,436720,19.719499910000000000000
Colima,2011,4,Mujeres,11359,131684,8.6259530390000000000000
Chiapas,2011,4,Mujeres,59358,573584,10.348615020000000000000
Chihuahua,2011,4,Mujeres,107340,469665,22.854587840000000000000
Ciudad de M xico,2011,4,Mujeres,166854,1816216,9.1869028790000000000000
Durango,2011,4,Mujeres,32668,240919,13.559744150000000000000
Guanajuato,2011,4,Mujeres,183582,902820,20.33428590000000000000
Guerrero,2011,4,Mujeres,74507,593655,12.550555460000000000000
Hidalgo,2011,4,Mujeres,57193,393583,14.53136950000000000000
Jalisco,2011,4,Mujeres,218337,1341714,16.272991110000000000000
M xico,2011,4,Mujeres,363212,2494574,14.56008120000000000000
Michoac n,2011,4,Mujeres,75791,626415,12.099167480000000000000
Morelos,2011,4,Mujeres,31539,315554,9.9948027910000000000000
Nayarit,2011,4,Mujeres,19066,190333,10.017180420000000000000
Nuevo Le n,2011,4,Mujeres,135356,802067,16.87589690000000000000
Oaxaca,2011,4,Mujeres,118819,680739,17.454413510000000000000
Puebla,2011,4,Mujeres,178304,1032380,17.271159840000000000000
Quer taro,2011,4,Mujeres,53107,286135,18.560120220000000000000
Quintana Roo,2011,4,Mujeres,13455,259688,5.1812174610000000000000
San Luis Potos ,2011,4,Mujeres,55681,379624,14.667407750000000000000
Sinaloa,2011,4,Mujeres,48853,495370,9.8619213920000000000000
Sonora,2011,4,Mujeres,90803,458237,19.815728540000000000000
Tabasco,2011,4,Mujeres,21279,327553,6.4963532620000000000000
Tamaulipas,2011,4,Mujeres,89413,558091,16.021222350000000000000
Tlaxcala,2011,4,Mujeres,49488,187705,26.364774510000000000000
Veracruz,2011,4,Mujeres,89707,1062171,8.4456269280000000000000
Yucat n,2011,4,Mujeres,80099,366904,21.831051170000000000000
Zacatecas,2011,4,Mujeres,21627,200540,10.784382170000000000000
Nacional,2012,1,Mujeres,2664848,18047513,14.765735310000000000000
Aguascalientes,2012,1,Mujeres,28414,179353,15.842500540000000000000
Baja California,2012,1,Mujeres,95370,521057,18.303179880000000000000
Baja California Sur,2012,1,Mujeres,8435,125464,6.723044060000000000000
Campeche,2012,1,Mujeres,18807,140688,13.367877860000000000000
Coahuila,2012,1,Mujeres,79016,429578,18.393865610000000000000
Colima,2012,1,Mujeres,11077,132909,8.3342738260000000000000
Chiapas,2012,1,Mujeres,54895,579346,9.4753394340000000000000
Chihuahua,2012,1,Mujeres,102123,456369,22.37728680000000000000
Ciudad de M xico,2012,1,Mujeres,184014,1772491,10.381660610000000000000
Durango,2012,1,Mujeres,32947,231108,14.256105370000000000000
Guanajuato,2012,1,Mujeres,173508,859023,20.198295040000000000000
Guerrero,2012,1,Mujeres,74917,524527,14.282772860000000000000
Hidalgo,2012,1,Mujeres,54290,371425,14.616679010000000000000
Jalisco,2012,1,Mujeres,215416,1290827,16.688216160000000000000
M xico,2012,1,Mujeres,364069,2392528,15.2169170000000000000
Michoac n,2012,1,Mujeres,91761,655473,13.999203630000000000000
Morelos,2012,1,Mujeres,30159,307933,9.7940136330000000000000
Nayarit,2012,1,Mujeres,18944,195549,9.6875974820000000000000
Nuevo Le n,2012,1,Mujeres,122683,780544,15.717627710000000000000
Oaxaca,2012,1,Mujeres,116609,635452,18.350559920000000000000
Puebla,2012,1,Mujeres,183210,937950,19.533024150000000000000
Quer taro,2012,1,Mujeres,49990,290136,17.229850830000000000000
Quintana Roo,2012,1,Mujeres,15070,269266,5.5966962040000000000000
San Luis Potos ,2012,1,Mujeres,55105,361685,15.235633220000000000000
Sinaloa,2012,1,Mujeres,45206,490753,9.2115585640000000000000
Sonora,2012,1,Mujeres,89813,450258,19.947008160000000000000
Tabasco,2012,1,Mujeres,18011,289152,6.2289038290000000000000
Tamaulipas,2012,1,Mujeres,93996,545758,17.223018260000000000000
Tlaxcala,2012,1,Mujeres,43412,172919,25.105396170000000000000
Veracruz,2012,1,Mujeres,99073,1097242,9.0292752190000000000000
Yucat n,2012,1,Mujeres,71108,360182,19.742241420000000000000
Zacatecas,2012,1,Mujeres,23400,200568,11.66686610000000000000
Nacional,2012,2,Mujeres,2691220,18779011,14.330999650000000000000
Aguascalientes,2012,2,Mujeres,30521,187531,16.275175840000000000000
Baja California,2012,2,Mujeres,107481,561167,19.153121980000000000000
Baja California Sur,2012,2,Mujeres,8628,127598,6.7618614710000000000000
Campeche,2012,2,Mujeres,17788,137418,12.944446870000000000000
Coahuila,2012,2,Mujeres,83986,443925,18.918961540000000000000
Colima,2012,2,Mujeres,11029,137678,8.0107206670000000000000
Chiapas,2012,2,Mujeres,48586,618765,7.8520924750000000000000
Chihuahua,2012,2,Mujeres,127034,501220,25.34495830000000000000
Ciudad de M xico,2012,2,Mujeres,191417,1860112,10.290616910000000000000
Durango,2012,2,Mujeres,32231,218926,14.722326270000000000000
Guanajuato,2012,2,Mujeres,166466,933564,17.831235990000000000000
Guerrero,2012,2,Mujeres,86903,560178,15.513461790000000000000
Hidalgo,2012,2,Mujeres,53072,411874,12.885494110000000000000
Jalisco,2012,2,Mujeres,217194,1318127,16.477471440000000000000
M xico,2012,2,Mujeres,353143,2466262,14.318957190000000000000
Michoac n,2012,2,Mujeres,86975,661363,13.150871760000000000000
Morelos,2012,2,Mujeres,27041,311023,8.6942123250000000000000
Nayarit,2012,2,Mujeres,18295,199154,9.1863582960000000000000
Nuevo Le n,2012,2,Mujeres,126613,817947,15.47936480000000000000
Oaxaca,2012,2,Mujeres,123135,657838,18.718134250000000000000
Puebla,2012,2,Mujeres,163167,969369,16.832289870000000000000
Quer taro,2012,2,Mujeres,49503,279915,17.685011520000000000000
Quintana Roo,2012,2,Mujeres,13581,277713,4.8903004180000000000000
San Luis Potos ,2012,2,Mujeres,60845,378999,16.054132070000000000000
Sinaloa,2012,2,Mujeres,51590,489719,10.534612710000000000000
Sonora,2012,2,Mujeres,81516,458370,17.783886380000000000000
Tabasco,2012,2,Mujeres,14777,296194,4.9889599380000000000000
Tamaulipas,2012,2,Mujeres,95950,578385,16.589296060000000000000
Tlaxcala,2012,2,Mujeres,49421,191329,25.830375950000000000000
Veracruz,2012,2,Mujeres,89017,1132805,7.858104440000000000000
Yucat n,2012,2,Mujeres,80916,377146,21.454821210000000000000
Zacatecas,2012,2,Mujeres,23399,217397,10.7632580000000000000
Nacional,2012,3,Mujeres,2795112,18816395,14.854662650000000000000
Aguascalientes,2012,3,Mujeres,28988,187152,15.489014280000000000000
Baja California,2012,3,Mujeres,109132,553847,19.704358790000000000000
Baja California Sur,2012,3,Mujeres,9040,130319,6.9368242540000000000000
Campeche,2012,3,Mujeres,21923,147493,14.863756250000000000000
Coahuila,2012,3,Mujeres,88267,444532,19.856163340000000000000
Colima,2012,3,Mujeres,11870,140298,8.4605625170000000000000
Chiapas,2012,3,Mujeres,44221,550645,8.0307639220000000000000
Chihuahua,2012,3,Mujeres,123016,521683,23.580603550000000000000
Ciudad de M xico,2012,3,Mujeres,178335,1812352,9.8399758990000000000000
Durango,2012,3,Mujeres,34830,228164,15.265335460000000000000
Guanajuato,2012,3,Mujeres,190363,971043,19.603972220000000000000
Guerrero,2012,3,Mujeres,86560,559182,15.479754360000000000000
Hidalgo,2012,3,Mujeres,63259,409481,15.448580030000000000000
Jalisco,2012,3,Mujeres,215583,1309892,16.458074410000000000000
M xico,2012,3,Mujeres,358568,2558673,14.01382670000000000000
Michoac n,2012,3,Mujeres,99549,699616,14.229091390000000000000
Morelos,2012,3,Mujeres,30548,309572,9.8678175030000000000000
Nayarit,2012,3,Mujeres,16956,200772,8.4454007530000000000000
Nuevo Le n,2012,3,Mujeres,123301,795537,15.499090550000000000000
Oaxaca,2012,3,Mujeres,135536,688620,19.682263080000000000000
Puebla,2012,3,Mujeres,189822,975530,19.458345720000000000000
Quer taro,2012,3,Mujeres,51826,291803,17.760612470000000000000
Quintana Roo,2012,3,Mujeres,11814,261711,4.5141396430000000000000
San Luis Potos ,2012,3,Mujeres,64446,391902,16.444417230000000000000
Sinaloa,2012,3,Mujeres,46314,475434,9.7414152120000000000000
Sonora,2012,3,Mujeres,83619,445878,18.753784670000000000000
Tabasco,2012,3,Mujeres,17144,303626,5.6464202670000000000000
Tamaulipas,2012,3,Mujeres,92599,552891,16.748147460000000000000
Tlaxcala,2012,3,Mujeres,49749,190135,26.165093220000000000000
Veracruz,2012,3,Mujeres,114350,1119598,10.213487340000000000000
Yucat n,2012,3,Mujeres,81711,369906,22.089666020000000000000
Zacatecas,2012,3,Mujeres,21873,219108,9.9827482340000000000000
Nacional,2012,4,Mujeres,2791442,18691081,14.934620420000000000000
Aguascalientes,2012,4,Mujeres,30047,187762,16.002705550000000000000
Baja California,2012,4,Mujeres,110083,568598,19.360426870000000000000
Baja California Sur,2012,4,Mujeres,8648,131428,6.5800286090000000000000
Campeche,2012,4,Mujeres,19782,145257,13.618620790000000000000
Coahuila,2012,4,Mujeres,84627,442722,19.115155790000000000000
Colima,2012,4,Mujeres,11731,138054,8.4973995680000000000000
Chiapas,2012,4,Mujeres,48571,543197,8.9416915040000000000000
Chihuahua,2012,4,Mujeres,120232,508123,23.661987350000000000000
Ciudad de M xico,2012,4,Mujeres,205597,1852240,11.099911460000000000000
Durango,2012,4,Mujeres,33116,241282,13.725018860000000000000
Guanajuato,2012,4,Mujeres,195916,931484,21.032674740000000000000
Guerrero,2012,4,Mujeres,67010,523604,12.797839590000000000000
Hidalgo,2012,4,Mujeres,67103,407831,16.453629080000000000000
Jalisco,2012,4,Mujeres,204015,1318192,15.476880450000000000000
M xico,2012,4,Mujeres,391949,2526104,15.515948670000000000000
Michoac n,2012,4,Mujeres,110024,698777,15.745223440000000000000
Morelos,2012,4,Mujeres,30274,306269,9.8847744960000000000000
Nayarit,2012,4,Mujeres,15190,202604,7.497384060000000000000
Nuevo Le n,2012,4,Mujeres,136140,829348,16.415304550000000000000
Oaxaca,2012,4,Mujeres,123075,647026,19.021646730000000000000
Puebla,2012,4,Mujeres,182165,981601,18.557947680000000000000
Quer taro,2012,4,Mujeres,50201,278849,18.002933490000000000000
Quintana Roo,2012,4,Mujeres,11265,270526,4.1641099190000000000000
San Luis Potos ,2012,4,Mujeres,64811,393268,16.480110260000000000000
Sinaloa,2012,4,Mujeres,47404,486623,9.7414220040000000000000
Sonora,2012,4,Mujeres,75400,441418,17.081315220000000000000
Tabasco,2012,4,Mujeres,14795,290904,5.0858702530000000000000
Tamaulipas,2012,4,Mujeres,91174,548625,16.61863750000000000000
Tlaxcala,2012,4,Mujeres,48016,189781,25.300741380000000000000
Veracruz,2012,4,Mujeres,102123,1087698,9.388911260000000000000
Yucat n,2012,4,Mujeres,74918,373386,20.06449090000000000000
Zacatecas,2012,4,Mujeres,16040,198500,8.0806045340000000000000
Nacional,2013,1,Mujeres,2692519,18286318,14.724227150000000000000
Aguascalientes,2013,1,Mujeres,31934,186235,17.147152790000000000000
Baja California,2013,1,Mujeres,114726,542587,21.144258890000000000000
Baja California Sur,2013,1,Mujeres,7390,126798,5.8281676370000000000000
Campeche,2013,1,Mujeres,20149,139765,14.416341720000000000000
Coahuila,2013,1,Mujeres,83517,443082,18.849106940000000000000
Colima,2013,1,Mujeres,12430,141071,8.8111660090000000000000
Chiapas,2013,1,Mujeres,69548,569527,12.211536940000000000000
Chihuahua,2013,1,Mujeres,142695,534194,26.712205680000000000000
Ciudad de M xico,2013,1,Mujeres,191155,1782548,10.72369440000000000000
Durango,2013,1,Mujeres,36348,223363,16.273062240000000000000
Guanajuato,2013,1,Mujeres,190548,898583,21.20538670000000000000
Guerrero,2013,1,Mujeres,65569,508096,12.904844750000000000000
Hidalgo,2013,1,Mujeres,63879,421368,15.159907730000000000000
Jalisco,2013,1,Mujeres,178648,1310516,13.63188240000000000000
M xico,2013,1,Mujeres,361040,2351212,15.355484750000000000000
Michoac n,2013,1,Mujeres,88581,690144,12.835147450000000000000
Morelos,2013,1,Mujeres,33607,312878,10.741247390000000000000
Nayarit,2013,1,Mujeres,15347,213973,7.1724002560000000000000
Nuevo Le n,2013,1,Mujeres,114659,753487,15.217117220000000000000
Oaxaca,2013,1,Mujeres,107539,629583,17.080988530000000000000
Puebla,2013,1,Mujeres,149385,961892,15.530329810000000000000
Quer taro,2013,1,Mujeres,51141,272285,18.78215840000000000000
Quintana Roo,2013,1,Mujeres,11156,260173,4.2879161170000000000000
San Luis Potos ,2013,1,Mujeres,59677,375783,15.880707750000000000000
Sinaloa,2013,1,Mujeres,45963,482888,9.5183562230000000000000
Sonora,2013,1,Mujeres,85347,447535,19.070463760000000000000
Tabasco,2013,1,Mujeres,11268,285650,3.9446875550000000000000
